units_sold,discount_applied,revenue,clicks,impressions,conversion_rate,category,region,ad_ctr,ad_cpc,ad_spend,transaction_date_update,roi
134,0.14,305.54,11,65,0.17,Electronics,Europe,0.018,0.55,9.9,Oct-2024,2986.2626262626263
109,0.3,1102.19,15,201,0.07,Home Appliances,Asia,0.1589,0.4,63.56,Oct-2024,1634.093769666457
116,0.04,471.29,16,199,0.08,Toys,Asia,0.0596,1.5,89.4,Apr-2024,427.1700223713646
125,0.2,980.26,12,355,0.03,Clothing,Europe,0.0444,0.44,19.54,Aug-2024,4916.68372569089
132,0.07,803.76,44,355,0.12,Books,North America,0.127,0.53,67.31,May-2024,1094.1167731392068
160,0.25,69.37,4,73,0.05,Electronics,North America,0.0153,1.13,17.29,Sep-2024,301.2145748987855
145,0.17,121.56,25,110,0.23,Clothing,North America,0.0889,1.97,175.13,Dec-2023,-30.588705533032602
121,0.28,208.64,1,208,0.0,Electronics,Asia,0.0133,1.22,16.23,Apr-2024,1185.5206407886628
152,0.2,757.34,27,73,0.37,Toys,North America,0.1562,1.55,242.11,Apr-2024,212.8082276651109
152,0.17,163.74,10,299,0.03,Toys,North America,0.0728,0.75,54.6,Nov-2024,199.89010989010993
114,0.13,600.25,34,390,0.09,Clothing,Asia,0.0141,1.83,25.8,Dec-2023,2226.5503875968993
102,0.24,226.05,42,202,0.21,Books,Asia,0.1941,0.1,19.41,Oct-2024,1064.6058732612057
117,0.12,195.44,20,189,0.11,Home Appliances,Europe,0.1056,0.57,60.19,Jul-2024,224.70510051503572
131,0.09,135.11,8,102,0.08,Toys,Europe,0.1521,0.87,132.33,Nov-2024,2.100808584599109
132,0.19,374.76,40,426,0.09,Books,North America,0.0849,1.52,129.05,Mar-2024,190.39907012785739
102,0.0,314.68,33,418,0.08,Books,Asia,0.0152,1.11,16.87,May-2024,1765.3230586840543
163,0.04,209.7,1,94,0.01,Electronics,North America,0.0865,0.2,17.3,May-2024,1112.1387283236993
108,0.1,399.76,43,308,0.14,Home Appliances,Asia,0.0945,1.93,182.38,Apr-2024,119.19070073472969
145,0.18,243.97,24,285,0.08,Clothing,North America,0.0316,1.03,32.55,Aug-2024,649.5238095238096
429,0.12,1079.23,11,488,0.02,Home Appliances,North America,0.0127,0.33,4.19,Nov-2024,25657.279236276845
136,0.17,357.81,29,43,0.67,Books,North America,0.0422,0.84,35.45,Sep-2024,909.3370944992948
116,0.03,1132.88,46,66,0.7,Books,Europe,0.1345,0.38,51.11,Apr-2024,2116.552533750734
104,0.1,76.14,10,22,0.45,Books,Asia,0.1505,0.21,31.6,Feb-2024,140.9493670886076
132,0.0,656.22,8,307,0.03,Toys,Europe,0.1027,1.13,116.05,Jan-2024,465.46316242998716
163,0.26,487.02,41,484,0.08,Electronics,North America,0.1752,1.9,332.88,Mar-2024,46.30497476568132
135,0.01,141.89,38,375,0.1,Electronics,Europe,0.087,0.98,85.26,Aug-2024,66.42036124794743
122,0.2,1560.38,45,133,0.34,Home Appliances,Europe,0.1344,0.58,77.95,Mar-2024,1901.7703656189865
131,0.27,215.73,15,26,0.58,Toys,Europe,0.0208,1.81,37.65,Oct-2024,472.9880478087649
141,0.06,827.16,6,493,0.01,Home Appliances,North America,0.0246,1.1,27.06,Feb-2024,2956.7627494456765
143,0.02,300.47,13,479,0.03,Home Appliances,North America,0.1805,1.62,292.41,Oct-2024,2.7564036797647145
114,0.01,103.71,14,343,0.04,Books,Europe,0.1618,1.98,320.36,Jan-2024,-67.6270445748533
116,0.16,977.13,8,268,0.03,Clothing,Asia,0.0522,0.71,37.06,Dec-2023,2536.616297895305
150,0.3,41.29,6,298,0.02,Clothing,North America,0.0881,1.12,98.67,Jul-2024,-58.15344076213642
128,0.15,1347.35,39,263,0.15,Electronics,Asia,0.1024,0.8,81.92,Apr-2024,1544.7143554687498
120,0.22,237.74,27,409,0.07,Home Appliances,Europe,0.0108,0.62,6.7,Jun-2024,3448.358208955224
158,0.04,736.59,13,121,0.11,Toys,North America,0.1099,1.51,165.95,Sep-2024,343.8626092196446
131,0.3,338.23,43,201,0.21,Toys,Europe,0.0139,0.41,5.7,May-2024,5833.859649122807
137,0.08,450.85,14,262,0.05,Electronics,Europe,0.1221,1.8,219.78,Jan-2024,105.13695513695515
139,0.15,1575.56,14,15,0.93,Books,North America,0.1216,1.54,187.26,Jun-2024,741.375627469828
114,0.06,282.99,17,221,0.08,Clothing,Asia,0.0822,0.13,10.69,Feb-2024,2547.240411599626
151,0.24,347.46,49,247,0.2,Clothing,North America,0.1795,1.1,197.45,Sep-2024,75.97366421878957
138,0.16,221.89,4,449,0.01,Electronics,Europe,0.0601,1.94,116.59,Mar-2024,90.31649369585726
147,0.25,47.28,9,99,0.09,Home Appliances,North America,0.1692,1.17,197.96,Mar-2024,-76.11638714891897
166,0.14,1057.59,6,223,0.03,Electronics,North America,0.0839,1.02,85.58,Sep-2024,1135.7910726805328
158,0.17,167.78,4,197,0.02,Toys,North America,0.1831,1.37,250.85,Mar-2024,-33.115407614112016
159,0.05,266.87,45,198,0.23,Toys,North America,0.1743,0.92,160.36,May-2024,66.41930656023945
142,0.3,576.41,3,119,0.03,Electronics,Europe,0.0603,0.49,29.55,Sep-2024,1850.6260575296108
128,0.24,316.9,23,303,0.08,Electronics,Asia,0.055,1.96,107.8,Apr-2024,193.9703153988868
156,0.26,258.81,15,220,0.07,Toys,North America,0.1849,1.02,188.6,Apr-2024,37.226935312831394
111,0.2,487.68,49,14,3.5,Home Appliances,Asia,0.0557,0.42,23.39,Aug-2024,1984.9935870029929
114,0.22,1011.75,13,178,0.07,Home Appliances,Asia,0.0605,0.73,44.16,Dec-2023,2191.1005434782614
140,0.22,499.5,25,151,0.17,Books,North America,0.0635,1.12,71.12,Mar-2024,602.334083239595
144,0.2,199.79,26,308,0.08,Home Appliances,North America,0.1783,1.63,290.63,Dec-2023,-31.256236451845993
116,0.27,158.11,38,453,0.08,Books,Europe,0.1007,1.79,180.25,Feb-2024,-12.282940360610256
136,0.22,523.22,7,178,0.04,Toys,Europe,0.1404,1.81,254.12,Jan-2024,105.8948528254368
119,0.2,1299.2,47,298,0.16,Books,Europe,0.1396,1.13,157.75,Dec-2023,723.581616481775
119,0.07,841.8,41,45,0.91,Books,Europe,0.1377,1.75,240.98,Sep-2024,249.32359531911362
121,0.09,211.79,1,326,0.0,Toys,Asia,0.1646,0.29,47.73,Apr-2024,343.72512046930655
128,0.3,492.65,49,170,0.29,Electronics,Asia,0.0473,0.88,41.62,Jul-2024,1083.6857280153772
123,0.29,533.96,49,183,0.27,Home Appliances,Europe,0.0722,1.53,110.47,Oct-2024,383.3529465013126
141,0.05,349.18,43,274,0.16,Electronics,Europe,0.1109,0.66,73.19,Nov-2024,377.08703374777974
136,0.02,95.06,34,311,0.11,Toys,Europe,0.157,1.63,255.91,Apr-2024,-62.854128404517205
137,0.07,299.17,30,317,0.09,Toys,Europe,0.1011,1.12,113.23,Oct-2024,164.21443080455708
125,0.04,1148.03,41,35,1.17,Home Appliances,Europe,0.0136,0.29,3.94,Apr-2024,29037.817258883246
146,0.04,80.04,18,383,0.05,Home Appliances,North America,0.1967,1.84,361.93,May-2024,-77.8852264249993
129,0.04,876.58,26,83,0.31,Electronics,Asia,0.0732,0.73,53.44,Feb-2024,1540.3068862275452
166,0.29,16.68,38,459,0.08,Electronics,North America,0.0445,0.76,33.82,May-2024,-50.680070963926674
143,0.08,1167.37,41,340,0.12,Books,North America,0.1127,1.71,192.72,May-2024,505.733706932337
139,0.25,44.56,31,173,0.18,Books,North America,0.1319,1.02,134.54,Jun-2024,-66.87973836777165
154,0.15,140.39,44,333,0.13,Clothing,North America,0.1037,1.6,165.92,Jun-2024,-15.386933461909354
123,0.12,222.44,27,198,0.14,Toys,Asia,0.1532,1.4,214.48,May-2024,3.711301753077214
113,0.22,384.56,48,259,0.19,Home Appliances,Asia,0.0267,1.72,45.92,Oct-2024,737.4564459930313
161,0.06,739.35,4,187,0.02,Toys,North America,0.1467,1.11,162.84,Mar-2024,354.0346352247605
340,0.09,1859.4,47,396,0.12,Home Appliances,Asia,0.1445,1.62,234.09,Nov-2024,694.3098808150712
141,0.24,311.54,14,250,0.06,Electronics,Europe,0.1124,1.11,124.76,Feb-2024,149.71144597627446
145,0.11,630.4,30,218,0.14,Electronics,Europe,0.1451,1.29,187.18,Apr-2024,236.78811838871673
133,0.21,461.52,39,497,0.08,Clothing,Europe,0.0726,0.75,54.45,Nov-2024,747.6033057851239
148,0.28,220.75,5,278,0.02,Home Appliances,North America,0.1311,1.42,186.16,Jan-2024,18.58079071766223
132,0.17,1573.68,14,318,0.04,Electronics,Asia,0.0483,1.93,93.22,Dec-2023,1588.1355932203392
141,0.12,176.4,13,276,0.05,Books,North America,0.0287,0.5,14.35,Jul-2024,1129.2682926829268
110,0.24,141.11,37,69,0.54,Books,Asia,0.1693,1.11,187.92,Dec-2024,-24.90953597275435
146,0.28,1301.7,0,443,0.0,Electronics,Europe,0.1095,1.98,216.81,Apr-2024,500.3874360038744
124,0.2,118.3,21,307,0.07,Toys,Asia,0.1846,1.16,214.14,Apr-2024,-44.75576725506677
113,0.18,182.11,30,63,0.48,Home Appliances,Asia,0.0401,1.54,61.75,Dec-2024,194.91497975708506
132,0.15,789.48,39,382,0.1,Electronics,Asia,0.1671,0.4,66.84,Oct-2024,1081.149012567325
151,0.02,1786.7,0,281,0.0,Home Appliances,North America,0.0883,1.74,153.64,Oct-2024,1062.9133038271284
124,0.12,382.39,27,398,0.07,Toys,Asia,0.114,1.32,150.48,Dec-2024,154.11350345560874
131,0.09,880.17,24,245,0.1,Clothing,Europe,0.0231,1.94,44.81,Dec-2023,1864.2267351037713
132,0.24,200.98,29,130,0.22,Electronics,Asia,0.0498,1.56,77.69,Apr-2024,158.69481271720943
173,0.17,62.32,35,454,0.08,Electronics,North America,0.0639,0.24,15.34,Mar-2024,306.25814863103005
130,0.05,94.18,41,194,0.21,Electronics,Asia,0.1865,0.3,55.95,Feb-2024,68.32886505808759
109,0.18,332.92,14,68,0.21,Books,Asia,0.1885,1.66,312.91,Feb-2024,6.394810009267838
121,0.11,203.29,29,443,0.07,Clothing,Asia,0.0359,0.2,7.18,Feb-2024,2731.33704735376
129,0.16,1570.09,46,259,0.18,Home Appliances,Europe,0.1508,1.9,286.52,Jul-2024,447.98617897528965
130,0.13,311.84,9,424,0.02,Electronics,Asia,0.1045,0.79,82.56,Jun-2024,277.7131782945736
160,0.19,688.76,10,425,0.02,Clothing,North America,0.1615,0.76,122.74,Oct-2024,461.153658139156
122,0.16,597.82,47,479,0.1,Books,Europe,0.0469,1.73,81.14,Mar-2024,636.7759428148879
123,0.01,470.01,26,102,0.25,Clothing,Asia,0.1683,0.15,25.24,Nov-2024,1762.16323296355
164,0.03,261.76,13,474,0.03,Toys,North America,0.0422,0.71,29.96,Aug-2024,773.6982643524699
123,0.22,301.45,3,122,0.02,Clothing,Asia,0.1555,1.43,222.36,Aug-2024,35.56844756251123
122,0.17,124.77,27,197,0.14,Clothing,Asia,0.1766,1.44,254.3,Jan-2024,-50.935902477388915
118,0.16,1467.58,4,466,0.01,Home Appliances,Asia,0.1748,0.19,33.21,Jul-2024,4319.090635350798
111,0.28,570.79,4,329,0.01,Books,Asia,0.017,1.23,20.91,Oct-2024,2629.746532759445
136,0.21,552.87,2,247,0.01,Clothing,Europe,0.0295,1.86,54.87,Oct-2024,907.5997813012575
151,0.19,234.95,49,336,0.15,Home Appliances,North America,0.0865,1.12,96.88,Sep-2024,142.51651527663088
158,0.22,114.24,34,156,0.22,Clothing,North America,0.0607,1.06,64.34,Nov-2024,77.55672987255205
127,0.18,73.46,28,313,0.09,Home Appliances,Europe,0.1302,1.33,173.17,Apr-2024,-57.57925737714385
129,0.1,665.58,43,71,0.61,Home Appliances,Europe,0.013,1.02,13.26,Oct-2024,4919.457013574661
127,0.29,70.28,11,399,0.03,Toys,Asia,0.0757,0.22,16.65,Nov-2024,322.10210210210215
158,0.14,641.92,10,26,0.38,Clothing,North America,0.1971,1.64,323.24,Mar-2024,98.58928350451674
150,0.13,126.46,14,78,0.18,Electronics,Europe,0.1944,0.81,157.46,Mar-2024,-19.687539692620355
146,0.04,83.87,29,344,0.08,Books,North America,0.1211,0.84,101.72,Sep-2024,-17.548171451042073
122,0.23,361.38,36,20,1.8,Books,Europe,0.0319,1.45,46.26,Nov-2024,681.1932555123217
130,0.23,1010.05,33,164,0.2,Home Appliances,Europe,0.0437,0.12,5.24,Jun-2024,19175.763358778626
116,0.03,12.58,15,191,0.08,Home Appliances,Asia,0.1805,1.88,339.34,Jul-2024,-96.29280367772736
125,0.09,1357.17,26,133,0.2,Books,Europe,0.0495,1.78,88.11,Nov-2024,1440.3132448076271
134,0.26,402.23,18,233,0.08,Electronics,Asia,0.1111,0.84,93.32,Feb-2024,331.0222888984141
113,0.0,1446.72,48,281,0.17,Books,Asia,0.0315,1.46,45.99,Mar-2024,3045.7273320287018
142,0.14,860.35,47,366,0.13,Toys,Europe,0.1556,0.28,43.57,Jun-2024,1874.6385127381225
163,0.04,587.56,30,271,0.11,Clothing,North America,0.1877,1.1,206.47,Jan-2024,184.5740301254419
113,0.28,265.59,24,25,0.96,Books,Asia,0.0536,1.44,77.18,Mar-2024,244.11764705882345
131,0.22,346.3,32,273,0.12,Toys,Asia,0.1562,0.37,57.79,Feb-2024,499.2386225990656
129,0.25,113.65,36,154,0.23,Home Appliances,Europe,0.1083,0.52,56.32,Feb-2024,101.79332386363637
135,0.19,790.67,28,289,0.1,Electronics,Asia,0.0827,0.95,78.56,Dec-2023,906.4536659877799
150,0.13,1113.4,8,89,0.09,Electronics,Europe,0.1546,0.62,95.85,Apr-2024,1061.606677099635
123,0.09,439.02,6,17,0.35,Clothing,Asia,0.0554,1.4,77.56,Oct-2024,466.03919546157806
131,0.16,564.45,2,243,0.01,Home Appliances,Europe,0.0145,1.46,21.17,Nov-2024,2566.2730278696267
117,0.18,267.22,31,159,0.19,Home Appliances,Asia,0.1891,0.76,143.72,Feb-2024,85.93097689952688
131,0.08,183.13,15,229,0.07,Home Appliances,Europe,0.136,1.73,235.28,Oct-2024,-22.16507990479429
124,0.08,547.46,11,357,0.03,Clothing,Asia,0.1056,0.7,73.92,Sep-2024,640.6114718614718
152,0.08,246.88,48,161,0.3,Home Appliances,North America,0.1256,0.36,45.22,Aug-2024,445.953118089341
114,0.14,70.98,14,388,0.04,Books,Asia,0.1657,1.11,183.93,Mar-2024,-61.409231772957106
168,0.06,327.21,28,273,0.1,Toys,North America,0.0339,0.75,25.42,Dec-2023,1187.2147915027535
